title,description,location,features,data,price
3bhk swatantra bangla umarpoti main ready possession main,"1)Total plot area- 40*30 =1200 sq ft , plot East facing  2)construction area =1200  3)building permission included.  4)boring included.  5)1 hp branded CRI pump included  6)light connection included  7)only red bricks NK-HB used  8)all banks finance facility available  9)all branded materials used  10)drawing design included  11)booking amout 51000  12)address =newai umarpoti main road near petrol pump",Maroda Sector Bhilai Chhattisgarh India,3 Bds - 3 Ba - 1500 ft2,2020-07-10T14:33:14+0000,"₹ 34,00,000"
"2 BHK in Noida Extension, Ready to Move at Apex Golf Avenue, ₹ 44 Lacs","2 BHK in Noida Extension, Ready to Move at Apex Golf Avenue, ₹ 44 Lacs",Near ABES Engineering College NH 24 Greater Noida Uttar Pradesh India,2 Bds - 2 Ba - 1137 ft2,2020-07-13T04:10:34+0000,"₹ 44,00,000"
"2 BHK   Bedroom , Bath  room for Sale in  Kalyan East","2 BHK   Bedroom , Bath  room for Sale in  Kalyan East",Temghar Naka Bhiwandi Maharashtra India,2 Bds - 2 Ba - 525 ft2,2020-06-24T11:43:25+0000,"₹ 39,00,125"
810 sqft villa for sale in Derabassi with best Tricity connectivity,"2 BHK 810 sqft Independent house in a gated community at Derabassi, Mohali, Chandigarh, Punjab  The Green Enclave township has been created for families with discerning tastes, who appreciate the subtle nuances of a sophisticated lifestyle; Enjoy the lush green gardens, the pollution-free air, plenty of natural sunlight, and an inspiring view of gorgeous surrounding at green enclave! Green enclave offers a choice of plots of different styles and sizes for bungalows & independent houses set in a harmonious ambiance.   Address: Realm green enclave near Tehsil Road, Dera Bassi, Chandigarh, Zirakpur, Punjab.  Features:-  * Situated in a prime zone with a big entrance gate.  * 24x7 security with cc tv surveillance, clubhouse with gym and indoor games.  * Ample drainage system, Vastu friendly.  * Secured walled and gated community, secured kids playing zone and water bodies.  * shopping arcade for step by step needs.",Shiv Puri Colony Dera Bassi Punjab India,2 Bds - 2 Ba - 720 ft2,2020-07-13T08:42:59+0000,"₹ 20,90,458"
2BHK Semi Furnish Flat Available For Sell At New Karelibaug,"LABH PROPERTY LP ID : 5655 2BHK Semi Furnish Flat Available For Sell At New Karelibaug   SBA 1200 CARPET 750 Offer Price For Sell 23/- Lakh Only In House Facilities like Kitchen Etc.. Common Facilities like Garden, Club House Etc.. For More Details Kindly Contact:  LABH PROPERTY  (A Leading Real Estate Consultancy Co. in VADODARA) Here You Get All Realty Service Like Buy, Sell, Rent Loan And All Pre And Post Document Of Property Under One Proof. Our Relation Ship Manager Will Assist You Right From Property Selection To Property Possession. Karelibaug (Branch) Office at: 401 Vinayak Square, Opp. Amrapali Complex, Above Vodafone & I magic Store, Pani Tanki Road, Karelibaug, Vadodara, 390018. (Head Office at Gotri).",New Karelibaug Vadodara Gujarat India,2 Bds - 2 Ba - 1200 ft2,2020-07-13T08:42:40+0000,"₹ 20,50,000"
2bhk flat for sale in mount view colony shahstradhara road Dehradun,2bhk flat for sale in mount view colony near Punjab national Bank shahstradhara road. Flat is upper ground floor with stilt parking and 30 feet road in front,Danda Dhoran Dehradun Uttaranchal India,2 Bds - 2 Ba - 1100 ft2,2020-07-13T08:42:19+0000,"₹ 35,00,000"
"Kothamangalam -Chelad 10 Cent, 1200 sqft House","Kothamangalam -Chelad 10 Cent, 1200 sqft House, 3 Bedroom, 3 bedroom attached, Sit out, Carporch, Dining hall, Drawing room, Kitchen, Work area, Addition big hall, Calm and quite living location.   Chelad Junction from 1.1 km Bus Stop nearby Two year old Building  School, College nearby Church, Temple 500 mtrs  Further details contact me  BANK LOAN AVAILABLE",Kuttkuzhi Kothamangalam Kerala India,3 Bds - 4 Ba - 1200 ft2,2020-07-13T08:42:04+0000,"₹ 37,00,000"
"Registered Property,   2 BHK Flats  for Sale in Hinjewadi, Phase 3 ,","Registered Property,   2 BHK Flats  for Sale in Hinjewadi, Phase 3 ,",Wakad Pune Maharashtra India,2 Bds - 2 Ba - 900 ft2,2020-07-10T13:02:53+0000,"₹ 48,00,825"
"Dream Home@upto 100% loan,",RERA OK  2 BHK ATTACHED TOILET 20.11 LAKH ONWARDS  2.67 LAKH PMY EXTRA MONEY  NO I TIME MAINTENANCE DEPOSIT REQUIRED  UPTO 100% NATIONALIZED BANK FINANCE AVAILABLE  ONLY 28 FLAT ONLY 4 FLOOR 3 SIDE Open APARTMENT  IN NIT AREA NEAR GARDEN AND BUS STOP  IF INTERESTED PLEASE CONTACT AMIT,Wadi Nagpur Maharashtra India,2 Bds - 2 Ba - 897 ft2,2020-07-13T08:41:46+0000,"₹ 20,51,258"
Villa for Sale at Perinthalmanna- Starting from Rs.35 Lakhs.,"3 -4  BHK Villa for Sale at Perinthalmanna, Calicut. Code:MH  We Big Deals, Kerala's 1st K-RERA Certified Real-Estate Entity.  Located at Chemannur.  Near to Al-Shifa Hospital.  The house has a built-Up area of 1591-2117  Sq. Ft in 5 Cents land.  The Villa has a good view of the locality.  Price Rs.35 Lakhs.  For More details, Contact:  Big Deals,  3rd Floor, Emarald Mall, Mavoor Road,  Kozhikode.  Note : Images shown are for representation purpose only. Actual Building / Plot may differ.  You can get the link to call us directly by activating the chat button below.  (Call Between 9 AM-8 PM)  We arrange Bank loans from all major banks at lowest rates.",Pallippuram Perinthalmanna Kerala India,3 Bds - 3 Ba - 1519 ft2,2020-07-13T08:41:37+0000,"₹ 35,00,000"
2 BHK Furnished Ready to Move Flat,2 BHK Furnished Flat,Narsala Nagpur Maharashtra India,2 Bds - 2 Ba - 750 ft2,2020-06-18T12:45:14+0000,"₹ 20,00,000"
90+1%loan 2bhk flat  in good  location  gurgaon. New colony,90+1%loan 2bhk flat  in good  location  gurgaon.new colony,New Colony Gurgaon Haryana India,2 Bds - 2 Ba - 780 ft2,2020-06-27T07:34:49+0000,"₹ 34,00,000"
3bhk flat in 40 acre township in mohali !,WHY PAY RENT WHEN YOU CAN OWN ONE !  EASY EMI OPTION AVAILABLE Like  SBI  PNB  HDFC   READY TO MOVE 3 BHK PROPERTY FOR SALE in Patiala road  SPACIOUS ROOMS AVAILABLE  in Mohali  FALSE CEILING ENTIRE FLAT   BRANDED FITTINGS  MODULAR KITCHEN WITH  RO  CHIMNEY  ALMIRAH'S IN ALL ROOMS  BOTH SIDE OPEN AREA  WELL CONNECTED WITH ALL THE HIGHWAYS  PRIME LOCATION  STORE SPACE EXTRA  CAR PARKING  GATED SOCIETY.  NEAR TO ALL LOCATION  NEAR TO COLLEGE  NEAR TO AIRPORT ROAD  NEAR TO MARKET NEAR TO MALL  Different size  150 gaj 182 gaj 227 gaj  VISIT FOR MORE DETAILS  BOLLYWOOD GREEN CITY,Sector 113 Mohali Punjab India,3 Bds - 3 Ba - 1234 ft2,2020-07-13T08:41:37+0000,"₹ 35,90,000"
3 BHK Luxury Apartments in Ambience Creacions at Sector 22 Gurugram,3 BHK Luxury Apartments in Ambience Creacions at Sector 22 Gurugram,Sohna Road Gurgaon Haryana India,3 Bds - 3 Ba - 2781 ft2,2020-07-08T02:53:45+0000,"₹ 3,06,03,350"
"1 BHK  Flats  for Sale only in  Kalyan West, Kalyan Nagari","1 BHK  Flats  for Sale only in  Kalyan West, Kalyan Nagari",Kalyan Thane Maharashtra India,1 Bds - 1 Ba - 650 ft2,2020-06-24T11:38:39+0000,"₹ 33,00,250"
G+2+Pent house for sale in Ramanthapur,G+2+Pent house for sale East facing house for sale in Ramanthapur Srinagar Colony,Ramanthapur Hyderabad Telangana India,4+ Bds - 4+ Ba - 4000 ft2,2020-06-19T07:06:47+0000,"₹ 2,00,00,000"
